market_open,market_close,market_date,market_date_ts,market_open_ts,market_close_ts,day,month,year,day_of_week_str,day_of_week,half_day,is_earnings_season,is_last_trading_of_month,is_options_expiration
09:30:00,16:00:00,2015-01-02,1420174800.0,1420209000.0,1420232400.0,2,1,2015,Friday,4,0,0,0,0
09:30:00,16:00:00,2015-01-05,1420434000.0,1420468200.0,1420491600.0,5,1,2015,Monday,0,0,0,0,0
09:30:00,16:00:00,2015-01-06,1420520400.0,1420554600.0,1420578000.0,6,1,2015,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2015-01-07,1420606800.0,1420641000.0,1420664400.0,7,1,2015,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2015-01-08,1420693200.0,1420727400.0,1420750800.0,8,1,2015,Thursday,3,0,0,0,0
09:30:00,16:00:00,2015-01-09,1420779600.0,1420813800.0,1420837200.0,9,1,2015,Friday,4,0,0,0,0
09:30:00,16:00:00,2015-01-12,1421038800.0,1421073000.0,1421096400.0,12,1,2015,Monday,0,0,0,0,0
09:30:00,16:00:00,2015-01-13,1421125200.0,1421159400.0,1421182800.0,13,1,2015,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2015-01-14,1421211600.0,1421245800.0,1421269200.0,14,1,2015,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2015-01-15,1421298000.0,1421332200.0,1421355600.0,15,1,2015,Thursday,3,0,0,0,0
09:30:00,16:00:00,2015-01-16,1421384400.0,1421418600.0,1421442000.0,16,1,2015,Friday,4,0,1,0,1
09:30:00,16:00:00,2015-01-20,1421730000.0,1421764200.0,1421787600.0,20,1,2015,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2015-01-21,1421816400.0,1421850600.0,1421874000.0,21,1,2015,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2015-01-22,1421902800.0,1421937000.0,1421960400.0,22,1,2015,Thursday,3,0,1,0,0
09:30:00,16:00:00,2015-01-23,1421989200.0,1422023400.0,1422046800.0,23,1,2015,Friday,4,0,1,0,0
09:30:00,16:00:00,2015-01-26,1422248400.0,1422282600.0,1422306000.0,26,1,2015,Monday,0,0,1,0,0
09:30:00,16:00:00,2015-01-27,1422334800.0,1422369000.0,1422392400.0,27,1,2015,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2015-01-28,1422421200.0,1422455400.0,1422478800.0,28,1,2015,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2015-01-29,1422507600.0,1422541800.0,1422565200.0,29,1,2015,Thursday,3,0,1,0,0
09:30:00,16:00:00,2015-01-30,1422594000.0,1422628200.0,1422651600.0,30,1,2015,Friday,4,0,1,1,0
09:30:00,16:00:00,2015-02-02,1422853200.0,1422887400.0,1422910800.0,2,2,2015,Monday,0,0,1,0,0
09:30:00,16:00:00,2015-02-03,1422939600.0,1422973800.0,1422997200.0,3,2,2015,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2015-02-04,1423026000.0,1423060200.0,1423083600.0,4,2,2015,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2015-02-05,1423112400.0,1423146600.0,1423170000.0,5,2,2015,Thursday,3,0,1,0,0
09:30:00,16:00:00,2015-02-06,1423198800.0,1423233000.0,1423256400.0,6,2,2015,Friday,4,0,1,0,0
09:30:00,16:00:00,2015-02-09,1423458000.0,1423492200.0,1423515600.0,9,2,2015,Monday,0,0,1,0,0
